Team,Total_Players,QB$,RB/FB$,WR$,TE$,OL$,DL$,LB$,DB$,K/P/LS$,Total$_Spent
Arizona Cardinals,53,8296599 8.3M ,11411398 11.4M ,16322785 16.3M ,3157867 3.2M ,27070307 27.1M ,6306436 6.3M ,27840082 27.8M ,14249063 14.2M ,3693750 3.7M ,118348287 118.3M 
Atlanta Falcons,52,17205000 17.2M ,9507891 9.5M ,12766792 12.8M ,4863357 4.9M ,33590858 33.6M ,36402476 36.4M ,7799521 7.8M ,8732267 8.7M ,1460881 1.5M ,132329043 132.3M 
Baltimore Ravens,53,4187818 4.2M ,5564248 5.6M ,12328334 12.3M ,6675186 6.7M ,23384223 23.4M ,20051780 20.1M ,8384711 8.4M ,45058808 45.1M ,9886668 9.9M ,135521776 135.5M 
Buffalo Bills,53,6589326 6.6M ,6712191 6.7M ,18531034 18.5M ,9832091 9.8M ,29045877 29.0M ,45742408 45.7M ,9432545 9.4M ,20469977 20.5M ,6445000 6.4M ,152800449 152.8M 
Carolina Panthers,53,1195545 1.2M ,6253936 6.3M ,8996354 9.0M ,8821998 8.8M ,19230727 19.2M ,13918256 13.9M ,40009371 40.0M ,15641376 15.6M ,3065000 3.1M ,117132563 117.1M 
Chicago Bears,53,13917933 13.9M ,1793403 1.8M ,29401082 29.4M ,1256652 1.3M ,13701762 13.7M ,18218693 18.2M ,23244165 23.2M ,36443201 36.4M ,2955000 3.0M ,140931891 140.9M 
Cincinnati Bengals,53,17389080 17.4M ,7343572 7.3M ,12984755 13.0M ,10857843 10.9M ,29170380 29.2M ,28649267 28.6M ,4597134 4.6M ,15815777 15.8M ,5685000 5.7M ,132492808 132.5M 
Cleveland Browns,53,8060450 8.1M ,2769447 2.8M ,35036966 35.0M ,6562311 6.6M ,34335786 34.3M ,27938607 27.9M ,6066236 6.1M ,33518562 33.5M ,1863447 1.9M ,156151812 156.2M 
Dallas Cowboys,53,2767517 2.8M ,8701600 8.7M ,22392774 22.4M ,5586957 5.6M ,49169970 49.2M ,29948522 29.9M ,13403311 13.4M ,13879713 13.9M ,3199117 3.2M ,149049481 149.0M 
Denver Broncos,53,1919694 1.9M ,2301104 2.3M ,3768292 3.8M ,6724672 6.7M ,25858423 25.9M ,6949166 6.9M ,33466141 33.5M ,19001740 19.0M ,5570000 5.6M ,105559232 105.6M 
Detroit Lions,53,646764 0.6M ,3027262 3.0M ,5573021 5.6M ,3263705 3.3M ,22828699 22.8M ,15223300 15.2M ,7273245 7.3M ,29239707 29.2M ,6435000 6.4M ,93510703 93.5M 
Green Bay Packers,52,30244000 30.2M ,2907910 2.9M ,15735270 15.7M ,15966298 16.0M ,38813717 38.8M ,8640066 8.6M ,22532310 22.5M ,22966473 23.0M ,6063723 6.1M ,163869767 163.9M 
Houston Texans,53,6778440 6.8M ,5925790 5.9M ,26676944 26.7M ,2775452 2.8M ,20496645 20.5M ,24581032 24.6M ,27120644 27.1M ,22569367 22.6M ,4956618 5.0M ,141880932 141.9M 
Indianapolis Colts,53,12675735 12.7M ,2851358 2.9M ,16574997 16.6M ,6657500 6.7M ,28658930 28.7M ,35873749 35.9M ,4862397 4.9M ,29558668 29.6M ,4690470 4.7M ,142403804 142.4M 
Jacksonville Jaguars,53,12899779 12.9M ,8743271 8.7M ,4887186 4.9M ,1630587 1.6M ,30322954 30.3M ,29510172 29.5M ,1887960 1.9M ,29650264 29.7M ,3207905 3.2M ,122740078 122.7M 
Kansas City Chiefs,53,9224776 9.2M ,5995293 6.0M ,24925366 24.9M ,12023400 12.0M ,28126772 28.1M ,14993986 15.0M ,12118156 12.1M ,22346763 22.3M ,5425000 5.4M ,135179512 135.2M 
Los Angeles Chargers,53,27064391 27.1M ,7229972 7.2M ,18438990 18.4M ,5899218 5.9M ,24387068 24.4M ,38093722 38.1M ,13917494 13.9M ,18784338 18.8M ,1580000 1.6M ,155395193 155.4M 
Los Angeles Rams,53,11629577 11.6M ,12105164 12.1M ,26243537 26.2M ,4080176 4.1M ,30046383 30.0M ,30449657 30.4M ,21891393 21.9M ,19875598 19.9M ,6012000 6.0M ,162333485 162.3M 
Miami Dolphins,53,6779898 6.8M ,1321817 1.3M ,18655488 18.7M ,2611944 2.6M ,9505599 9.5M ,9518802 9.5M ,3325373 3.3M ,7344113 7.3M ,1809134 1.8M ,60872168 60.9M 
Minnesota Vikings,51,29735000 29.7M ,4385770 4.4M ,21796733 21.8M ,5244517 5.2M ,23365625 23.4M ,37259520 37.3M ,12532800 12.5M ,39687797 39.7M ,3158644 3.2M ,177166406 177.2M 
New England Patriots,53,22534599 22.5M ,12341919 12.3M ,18853923 18.9M ,2677267 2.7M ,19141266 19.1M ,9997663 10.0M ,24121800 24.1M ,45147323 45.1M ,1764597 1.8M ,156580357 156.6M 
New Orleans Saints,52,26595000 26.6M ,4820693 4.8M ,10976972 11.0M ,5900000 5.9M ,41679549 41.7M ,17729024 17.7M ,18237940 18.2M ,20465896 20.5M ,6795000 6.8M ,153200074 153.2M 
New York Giants,53,28450751 28.5M ,8939922 8.9M ,12651421 12.7M ,768240 0.8M ,26375016 26.4M ,8774528 8.8M ,25972160 26.0M ,11466639 11.5M ,1699707 1.7M ,125098384 125.1M 
New York Jets,53,7367714 7.4M ,11445014 11.4M ,13663683 13.7M ,768529 0.8M ,16390682 16.4M ,19981194 20.0M ,6213768 6.2M ,18872668 18.9M ,1974833 2.0M ,96678085 96.7M 
Oakland Raiders,52,25280481 25.3M ,6664168 6.7M ,12599347 12.6M ,5147062 5.1M ,24110991 24.1M ,15012622 15.0M ,6506519 6.5M ,22578768 22.6M ,1635833 1.6M ,119535791 119.5M 
Philadelphia Eagles,51,13488782 13.5M ,3400111 3.4M ,10594500 10.6M ,7806800 7.8M ,26056855 26.1M ,24663523 24.7M ,6769283 6.8M ,23832439 23.8M ,1942500 1.9M ,118554793 118.6M 
Pittsburgh Steelers,53,892058 0.9M ,2808722 2.8M ,3832455 3.8M ,6920982 6.9M ,36220709 36.2M ,21061427 21.1M ,26346168 26.3M ,25226896 25.2M ,6445000 6.4M ,129754417 129.8M 
Seattle Seahawks,52,26931668 26.9M ,1553350 1.6M ,11821417 11.8M ,1161175 1.2M ,23671098 23.7M ,23437378 23.4M ,27405249 27.4M ,11945678 11.9M ,4017537 4.0M ,131944550 131.9M 
San Francisco 49ers,53,21532358 21.5M ,12585215 12.6M ,10202646 10.2M ,2021923 2.0M ,26767044 26.8M ,44300493 44.3M ,15303346 15.3M ,29253534 29.3M ,5637782 5.6M ,167604341 167.6M 
Tampa Bay Buccaneers,53,22177000 22.2M ,4227251 4.2M ,5674887 5.7M ,10654040 10.7M ,41573313 41.6M ,29556492 29.6M ,24181107 24.2M ,8439193 8.4M ,3671443 3.7M ,150154726 150.2M 
Tennessee Titans,53,26347000 26.3M ,7357029 7.4M ,15568137 15.6M ,1565572 1.6M ,34369210 34.4M ,25616765 25.6M ,13339430 13.3M ,24559506 24.6M ,4285058 4.3M ,153007707 153.0M 
Washington Redskins,53,9214952 9.2M ,6953051 7.0M ,2093060 2.1M ,1150893 1.2M ,15803802 15.8M ,10650970 10.7M ,6131839 6.1M ,20281939 20.3M ,6307857 6.3M ,78588363 78.6M 
